A b,154272,370160,562816,798368,878880,1179824,1535240,1594720,2007888,2084624,2377456,2479136,2972768,3125056,3450064,3419936,3524624,4399680,4567472,4464544
B b,181630,400844,610200,835939,1160642,1533460,1524244,1984975,2225304,2397435,2730190,3010616,3401134,3674065,3555658,4011274,4412673,4671746,5208704,5401525
C b,12739,26535,42530,48540,66534,77336,98530,96540,113937,138531,147933,144540,179931,168540,198534,224530,238530,230936,236138,248538
D b,1493200,5826100,12939100,24609900,34965700,53955700,79324000,98499100,126290500,141929700,171742600,221668300,277054100,313488700,359880700,383880700,468043000,459952900,548576300,559860700
E b,428788,1052196,1605200,2344733,2741130,3751096,4001464,5353358,5074744,5914144,7059020,8042995,7944184,8460256,10171764,9501262,11013650,11190430,11260100,13584214
F b,6270,14265,20666,25069,35265,36270,43669,54666,57868,62269,75066,74669,83468,92667,96268,96270,102270,115468,125667,132267
A,157760,331280,494880,781216,1021568,1288240,1519088,1744736,1773016,1940912,2137120,2626656,2746640,3089952,3525872,3460640,4046672,4168160,4371056,4775968
B,145525,329259,577562,761800,842555,1107715,1439916,1453645,1730935,2057290,2407405,2201680,2758180,3142496,3282547,3784652,3413814,3478520,4364716,4145200
C,2520537,9758145,23205860,43443828,60986553,89158240,117877542,147674646,198840472,261241914,305362536,388998450,450313736,544915518,550563018,595014600,723569523,771460646,1004471396,991504662
D,1592700,6225100,13657900,23970700,37463200,53236300,78344700,99778300,118195000,153923700,198350500,227425900,250024500,305651500,337388200,358288700,468043000,524734900,541358200,663834700
E,394300,839778,1498496,1860326,2342101,2891646,3431350,3967368,4714947,5891024,5785206,6115355,6914390,7242195,7856978,8434776,8994033,9903642,10149652,9761842
F,296670,1352038,2772599,4971840,7806906,11676492,16185942,20665131,26152767,33926577,37039317,44307391,50926635,63658785,74455608,91368535,100852065,106600761,122297960,128382124
A w,162992,311840,581344,686880,1010592,1084960,1309112,1500960,1794368,1916960,2324048,2420128,2649728,3054848,3374256,3338528,3829152,3890336,4321952,4827872
B w,186990,365320,631636,883120,1151553,1450508,1553726,2090410,2284852,2620345,2864695,2875730,3389845,3272368,3770185,3907823,4604453,4729540,5135702,4963400
C w,2535064,10348665,24040267,39581462,69860670,102070271,119389861,163635864,210366665,275724669,343328271,402864670,418798262,524905467,593604666,685651867,693192660,841932665,880377061,1087456668
D w,1473300,5985700,12759400,25249100,34965700,50358700,73448200,98499100,116575900,153923700,193512700,227425900,260160600,305651500,319394200,409472700,427594900,492343900,541358200,599850700
E w,424696,1109844,1537554,2058593,2659324,3016759,3998199,4985080,5006000,6784275,7248682,7295245,8766185,9055760,8923270,10561680,11619880,11555088,13455622,11922220
F w,617200,2633700,5750700,11186300,15984300,23021100,31337900,44772300,55049700,59970300,77405100,89243100,118254800,137151300,152949300,153552300,202240800,220259100,238197600,255936300
